नाम,जन्मतिथि/उम्र,लिंग,पहचान संख्या,पापा का नाम,माँ का नाम,माता-पिता की शादी की स्थिति,किसके साथ रहते हो,तुम्हारे घर में कितने भाई और बहन हैं,क्या आपके पास जन्म प्रमाण पत्र है,क्या आपके पास बैंक पासबुक है,क्या आपके पास जाति प्रमाण पत्र है,क्या आपके पास आधार कार्ड है,क्या आपको कोई शारीरिक या मानसिक परेशानी / दिव्यांगता है,"अगर हाँ, तो आपको किस प्रकार की दिव्यांगता है",क्या आपके पास दिव्यांगता कार्ड है,क्या आपको कोई बड़ी बीमारी है,"अगर हाँ, तो क्या समस्या है",क्या आपके पास राशन कार्ड है,"अगर हां, तो श्रेणी बताएं",ज़िला,प्रखंड / ब्लॉक,ग्राम पंचायत/वार्ड संख्या,गांव / शहर,पता,फ़ोन नंबर,दूसरा संपर्क नंबर,क्या आपने स्कूल में एडमिशन लिया है,"अगर हाँ, तो स्कूल का नाम और कक्षा","अगर नहीं, तो क्यों",क्या आप किसी प्रकार का काम करते हैं,कोई कमाई का जरिया,क्या आपके पास स्वास्थ्य बीमा कार्ड है
आर्यन खान,17 वर्ष,महिला,ID-1010,पापा-25,माँ-98,अकेली माँ,माता-पिता,0,नहीं,नहीं,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,हाँ,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-11,गांव-एक्स,पता-11,9214530146,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
सुमन कुमारी,14 वर्ष,महिला,ID-1011,पापा-58,माँ-64,अकेली माँ,माता-पिता,4,नहीं,नहीं,नहीं,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,NA,अलीपुरद्वार,ब्लॉक-ए,पंचायत-16,गांव-एक्स,पता-12,9958217288,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
विक्रम सिंह,14 वर्ष,पुरुष,ID-1012,पापा-11,माँ-40,अकेले पिता,माता-पिता,1,नहीं,नहीं,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,नहीं,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-1,गांव-एक्स,पता-13,9699358185,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
काजल वर्मा,14 वर्ष,महिला,ID-1013,पापा-20,माँ-52,अकेली माँ,माता-पिता,1,हाँ,नहीं,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,नहीं,NA,अलीपुरद्वार,ब्लॉक-ए,पंचायत-3,गांव-एक्स,पता-14,9882901746,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
मनोज कुमार,18 वर्ष,महिला,ID-1014,पापा-54,माँ-89,माता और पिता दोनों,माता-पिता,2,नहीं,नहीं,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,हाँ,NA,अलीपुरद्वार,ब्लॉक-ए,पंचायत-9,गांव-एक्स,पता-15,9172023023,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
पिंकी यादव,15 वर्ष,महिला,ID-1015,पापा-84,माँ-33,अकेली माँ,माता-पिता,2,हाँ,नहीं,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,नहीं,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-11,गांव-एक्स,पता-16,9601988436,NA,हाँ,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,नहीं
राकेश शर्मा,16 वर्ष,महिला,ID-1016,पापा-63,माँ-61,अकेली माँ,माता-पिता,2,नहीं,हाँ,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-18,गांव-एक्स,पता-17,9804387170,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
सीमा कुमारी,12 वर्ष,महिला,ID-1017,पापा-61,माँ-17,अकेली माँ,माता-पिता,0,हाँ,हाँ,हाँ,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,PHH,अलीपुरद्वार,ब्लॉक-ए,पंचायत-15,गांव-एक्स,पता-18,9179567329,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
सुनील दास,14 वर्ष,महिला,ID-1018,पापा-25,माँ-17,अकेले पिता,माता-पिता,3,नहीं,हाँ,नहीं,हाँ,नहीं,NA,नहीं,नहीं,NA,नहीं,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-2,गांव-एक्स,पता-19,9857712959,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
आशा सिंह,12 वर्ष,पुरुष,ID-1019,पापा-29,माँ-87,अकेली माँ,माता-पिता,3,हाँ,हाँ,नहीं,हाँ,हाँ,NA,नहीं,नहीं,NA,हाँ,AAY,अलीपुरद्वार,ब्लॉक-ए,पंचायत-18,गांव-एक्स,पता-20,9248180412,NA,नहीं,"सरकारी स्कूल, कक्षा 9",NA,नहीं,नहीं,हाँ
